name,sku,category,price,compareAtPrice,stock,description,shortDescription,image_1,weight,status,featured
Navgraha Pooja Samagri Kit Deluxe,RAM-PS-011,Pooja Samagri,349,419,33,"Complete navgraha pooja kit with all 9 grains, coloured cloths, specific samagri items for each planetary deity.",Nine-planet ritual items collection,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,561,ACTIVE,false
Janeu (Sacred Thread) Handcrafted Set,RAM-PS-012,Pooja Samagri,69,99,354,Hand-spun pure cotton janeu sacred threads for Upanayana ceremony and daily religious observances.,Pure cotton sacred thread for ceremonies,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,22,ACTIVE,false
Lobaan Guggal Resin Compact,RAM-PS-013,Pooja Samagri,339,459,77,Premium quality natural lobaan and guggal resin for burning in temple dhunachi. Purifies environment and creates devotional atmosphere.,Natural aromatic temple resin incense,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,176,ACTIVE,false
Kamal Gatta (Lotus Seeds) Mala Temple Grade,RAM-PS-014,Pooja Samagri,269,349,110,Natural dried lotus seeds strung on silk thread for Lakshmi puja jaap. Each seed symbolizes prosperity and divine grace.,Lotus seed prayer mala for Lakshmi puja,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,43,ACTIVE,false
Pure Bhimseni Camphor (Kapur) Extra Large,RAM-PS-015,Pooja Samagri,319,389,201,"Premium quality bhimseni camphor flakes, zero residue, leaves sacred aroma during aarti and havan rituals. Sourced from natural camphor trees.",100% pure organic bhimseni camphor for aarti,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,283,ACTIVE,false
Organic Cotton Wicks (Batti) Medium Count,RAM-PS-016,Pooja Samagri,109,149,100,Unbleached raw organic cotton wicks hand-rolled for perfect flame. Ideal for daily diya lighting in temples and home mandirs.,Hand-rolled pure cotton wicks for diyas,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,91,ACTIVE,false
Premium Dhoop Sticks Deluxe Pack,RAM-PS-017,Pooja Samagri,379,479,187,Hand-rolled natural dhoop sticks made from pure herbs and essential oils. Bamboo-less for clean burning and spiritual ambiance.,Natural bamboo-less dhoop for meditation,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,142,ACTIVE,false
Pure Havan Samagri Medium,RAM-PS-018,Pooja Samagri,709,869,124,"Authentic havan samagri containing 51 sacred herbs including guggal, kapoor kachri, nagarmotha for Vedic fire rituals.",Traditional sacred fire ritual mixture,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,779,ACTIVE,false
Kumkum Roli Chandan Tilak Set Traditional,RAM-PS-019,Pooja Samagri,149,199,213,Premium quality turmeric-derived roli kumkum with pure sandalwood paste and akshat rice for daily tilak and puja ceremonies.,Traditional tilak ceremony set,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,172,ACTIVE,false
Natural Cow Ghee Diya Oil Large,RAM-PS-020,Pooja Samagri,639,799,60,100% pure A2 cow ghee specially filtered for diya lighting. Produces clean golden flame with divine fragrance.,Pure desi ghee for temple diyas,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,596,ACTIVE,false
Sacred Gangajal (Ganga Water) Extra Large,RAM-PS-021,Pooja Samagri,199,259,90,"Authentic purified Gangajal from Haridwar ghat for abhishekam, griha pravesh, and all sacred Hindu rituals.",Holy Ganga river water for puja,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,494,ACTIVE,false
Sindoor Powder Premium Small,RAM-PS-022,Pooja Samagri,179,249,338,Premium quality natural sindoor made from turmeric and lime. Lead-free and safe for daily religious application.,Traditional vermillion powder,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,25,ACTIVE,false
Akshat (Sacred Rice) Deluxe Large,RAM-PS-023,Pooja Samagri,99,129,170,"Premium quality turmeric-coloured unbroken rice grains for puja offerings, tilak ceremonies and religious rituals.",Coloured rice grains for puja offerings,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,201,ACTIVE,false
Panchamrit Mix Powder Standard,RAM-PS-024,Pooja Samagri,119,149,139,"Authentic panchamrit preparation powder containing dried milk, honey, curd, sugar and tulsi for deity abhishekam.",Five-nectar mixture for abhishekam,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,152,ACTIVE,false
Navgraha Pooja Samagri Kit Premium,RAM-PS-025,Pooja Samagri,569,649,49,"Complete navgraha pooja kit with all 9 grains, coloured cloths, specific samagri items for each planetary deity.",Nine-planet ritual items collection,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,225,ACTIVE,false
Janeu (Sacred Thread) Heritage Set,RAM-PS-026,Pooja Samagri,39,59,228,Hand-spun pure cotton janeu sacred threads for Upanayana ceremony and daily religious observances.,Pure cotton sacred thread for ceremonies,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,47,ACTIVE,false
Lobaan Guggal Resin Premium,RAM-PS-027,Pooja Samagri,239,309,139,Premium quality natural lobaan and guggal resin for burning in temple dhunachi. Purifies environment and creates devotional atmosphere.,Natural aromatic temple resin incense,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,382,ACTIVE,false
Kamal Gatta (Lotus Seeds) Mala Heritage,RAM-PS-028,Pooja Samagri,399,459,109,Natural dried lotus seeds strung on silk thread for Lakshmi puja jaap. Each seed symbolizes prosperity and divine grace.,Lotus seed prayer mala for Lakshmi puja,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,66,ACTIVE,false
Pure Bhimseni Camphor (Kapur) Jumbo,RAM-PS-029,Pooja Samagri,129,149,108,"Premium quality bhimseni camphor flakes, zero residue, leaves sacred aroma during aarti and havan rituals. Sourced from natural camphor trees.",100% pure organic bhimseni camphor for aarti,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,69,ACTIVE,false
Organic Cotton Wicks (Batti) Extra Large Count,RAM-PS-030,Pooja Samagri,199,259,427,Unbleached raw organic cotton wicks hand-rolled for perfect flame. Ideal for daily diya lighting in temples and home mandirs.,Hand-rolled pure cotton wicks for diyas,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,153,ACTIVE,false
Premium Dhoop Sticks Artisan Pack,RAM-PS-031,Pooja Samagri,119,139,83,Hand-rolled natural dhoop sticks made from pure herbs and essential oils. Bamboo-less for clean burning and spiritual ambiance.,Natural bamboo-less dhoop for meditation,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,261,ACTIVE,false
Pure Havan Samagri Standard,RAM-PS-032,Pooja Samagri,309,359,85,"Authentic havan samagri containing 51 sacred herbs including guggal, kapoor kachri, nagarmotha for Vedic fire rituals.",Traditional sacred fire ritual mixture,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,733,ACTIVE,false
Kumkum Roli Chandan Tilak Set Royal,RAM-PS-033,Pooja Samagri,319,359,296,Premium quality turmeric-derived roli kumkum with pure sandalwood paste and akshat rice for daily tilak and puja ceremonies.,Traditional tilak ceremony set,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,125,ACTIVE,false
Natural Cow Ghee Diya Oil Extra Large,RAM-PS-034,Pooja Samagri,459,529,68,100% pure A2 cow ghee specially filtered for diya lighting. Produces clean golden flame with divine fragrance.,Pure desi ghee for temple diyas,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,949,ACTIVE,false
Sacred Gangajal (Ganga Water) Medium,RAM-PS-035,Pooja Samagri,259,329,115,"Authentic purified Gangajal from Haridwar ghat for abhishekam, griha pravesh, and all sacred Hindu rituals.",Holy Ganga river water for puja,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,281,ACTIVE,false
Sindoor Powder Sacred Medium,RAM-PS-036,Pooja Samagri,89,119,360,Premium quality natural sindoor made from turmeric and lime. Lead-free and safe for daily religious application.,Traditional vermillion powder,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,98,ACTIVE,false
Akshat (Sacred Rice) Royal Jumbo,RAM-PS-037,Pooja Samagri,119,169,206,"Premium quality turmeric-coloured unbroken rice grains for puja offerings, tilak ceremonies and religious rituals.",Coloured rice grains for puja offerings,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,99,ACTIVE,false
Panchamrit Mix Powder Extra Large,RAM-PS-038,Pooja Samagri,259,349,79,"Authentic panchamrit preparation powder containing dried milk, honey, curd, sugar and tulsi for deity abhishekam.",Five-nectar mixture for abhishekam,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,88,ACTIVE,false
Navgraha Pooja Samagri Kit Traditional,RAM-PS-039,Pooja Samagri,809,989,67,"Complete navgraha pooja kit with all 9 grains, coloured cloths, specific samagri items for each planetary deity.",Nine-planet ritual items collection,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,665,ACTIVE,false
Janeu (Sacred Thread) Classic Set,RAM-PS-040,Pooja Samagri,89,119,325,Hand-spun pure cotton janeu sacred threads for Upanayana ceremony and daily religious observances.,Pure cotton sacred thread for ceremonies,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,49,ACTIVE,false
Lobaan Guggal Resin Small,RAM-PS-041,Pooja Samagri,169,199,62,Premium quality natural lobaan and guggal resin for burning in temple dhunachi. Purifies environment and creates devotional atmosphere.,Natural aromatic temple resin incense,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,349,ACTIVE,false
Kamal Gatta (Lotus Seeds) Mala Premium,RAM-PS-042,Pooja Samagri,449,579,133,Natural dried lotus seeds strung on silk thread for Lakshmi puja jaap. Each seed symbolizes prosperity and divine grace.,Lotus seed prayer mala for Lakshmi puja,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,72,ACTIVE,false
Pure Bhimseni Camphor (Kapur) Large,RAM-PS-043,Pooja Samagri,129,159,282,"Premium quality bhimseni camphor flakes, zero residue, leaves sacred aroma during aarti and havan rituals. Sourced from natural camphor trees.",100% pure organic bhimseni camphor for aarti,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,483,ACTIVE,false
Organic Cotton Wicks (Batti) Jumbo Count,RAM-PS-044,Pooja Samagri,119,149,369,Unbleached raw organic cotton wicks hand-rolled for perfect flame. Ideal for daily diya lighting in temples and home mandirs.,Hand-rolled pure cotton wicks for diyas,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,154,ACTIVE,false
Premium Dhoop Sticks Traditional Pack,RAM-PS-045,Pooja Samagri,349,399,86,Hand-rolled natural dhoop sticks made from pure herbs and essential oils. Bamboo-less for clean burning and spiritual ambiance.,Natural bamboo-less dhoop for meditation,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,158,ACTIVE,false
Pure Havan Samagri Premium,RAM-PS-046,Pooja Samagri,309,389,112,"Authentic havan samagri containing 51 sacred herbs including guggal, kapoor kachri, nagarmotha for Vedic fire rituals.",Traditional sacred fire ritual mixture,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,820,ACTIVE,false
Kumkum Roli Chandan Tilak Set Sacred,RAM-PS-047,Pooja Samagri,269,339,129,Premium quality turmeric-derived roli kumkum with pure sandalwood paste and akshat rice for daily tilak and puja ceremonies.,Traditional tilak ceremony set,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,65,ACTIVE,false
Natural Cow Ghee Diya Oil Small,RAM-PS-048,Pooja Samagri,429,509,85,100% pure A2 cow ghee specially filtered for diya lighting. Produces clean golden flame with divine fragrance.,Pure desi ghee for temple diyas,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,746,ACTIVE,false
Sacred Gangajal (Ganga Water) Small,RAM-PS-049,Pooja Samagri,339,389,150,"Authentic purified Gangajal from Haridwar ghat for abhishekam, griha pravesh, and all sacred Hindu rituals.",Holy Ganga river water for puja,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,209,ACTIVE,false
Sindoor Powder Heritage Large,RAM-PS-050,Pooja Samagri,149,189,259,Premium quality natural sindoor made from turmeric and lime. Lead-free and safe for daily religious application.,Traditional vermillion powder,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,93,ACTIVE,false
Akshat (Sacred Rice) Handcrafted Medium,RAM-PS-051,Pooja Samagri,89,99,299,"Premium quality turmeric-coloured unbroken rice grains for puja offerings, tilak ceremonies and religious rituals.",Coloured rice grains for puja offerings,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,147,ACTIVE,false
Panchamrit Mix Powder Small,RAM-PS-052,Pooja Samagri,289,389,186,"Authentic panchamrit preparation powder containing dried milk, honey, curd, sugar and tulsi for deity abhishekam.",Five-nectar mixture for abhishekam,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,95,ACTIVE,false
Navgraha Pooja Samagri Kit Artisan,RAM-PS-053,Pooja Samagri,629,719,74,"Complete navgraha pooja kit with all 9 grains, coloured cloths, specific samagri items for each planetary deity.",Nine-planet ritual items collection,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,218,ACTIVE,false
Janeu (Sacred Thread) Traditional Set,RAM-PS-054,Pooja Samagri,89,99,275,Hand-spun pure cotton janeu sacred threads for Upanayana ceremony and daily religious observances.,Pure cotton sacred thread for ceremonies,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,33,ACTIVE,false
Lobaan Guggal Resin Medium,RAM-PS-055,Pooja Samagri,169,219,59,Premium quality natural lobaan and guggal resin for burning in temple dhunachi. Purifies environment and creates devotional atmosphere.,Natural aromatic temple resin incense,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,276,ACTIVE,false
Kamal Gatta (Lotus Seeds) Mala Royal,RAM-PS-056,Pooja Samagri,299,399,118,Natural dried lotus seeds strung on silk thread for Lakshmi puja jaap. Each seed symbolizes prosperity and divine grace.,Lotus seed prayer mala for Lakshmi puja,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,81,ACTIVE,false
Pure Bhimseni Camphor (Kapur) Premium,RAM-PS-057,Pooja Samagri,599,719,266,"Premium quality bhimseni camphor flakes, zero residue, leaves sacred aroma during aarti and havan rituals. Sourced from natural camphor trees.",100% pure organic bhimseni camphor for aarti,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,380,ACTIVE,false
Organic Cotton Wicks (Batti) Premium Count,RAM-PS-058,Pooja Samagri,119,159,325,Unbleached raw organic cotton wicks hand-rolled for perfect flame. Ideal for daily diya lighting in temples and home mandirs.,Hand-rolled pure cotton wicks for diyas,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,120,ACTIVE,false
Premium Dhoop Sticks Heritage Pack,RAM-PS-059,Pooja Samagri,149,199,322,Hand-rolled natural dhoop sticks made from pure herbs and essential oils. Bamboo-less for clean burning and spiritual ambiance.,Natural bamboo-less dhoop for meditation,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,209,ACTIVE,false
Pure Havan Samagri Small,RAM-PS-060,Pooja Samagri,459,549,199,"Authentic havan samagri containing 51 sacred herbs including guggal, kapoor kachri, nagarmotha for Vedic fire rituals.",Traditional sacred fire ritual mixture,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,105,ACTIVE,false
Kumkum Roli Chandan Tilak Set Temple Grade,RAM-PS-061,Pooja Samagri,339,419,74,Premium quality turmeric-derived roli kumkum with pure sandalwood paste and akshat rice for daily tilak and puja ceremonies.,Traditional tilak ceremony set,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,64,ACTIVE,false
Natural Cow Ghee Diya Oil Compact,RAM-PS-062,Pooja Samagri,349,439,80,100% pure A2 cow ghee specially filtered for diya lighting. Produces clean golden flame with divine fragrance.,Pure desi ghee for temple diyas,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,704,ACTIVE,false
Sacred Gangajal (Ganga Water) Jumbo,RAM-PS-063,Pooja Samagri,449,549,155,"Authentic purified Gangajal from Haridwar ghat for abhishekam, griha pravesh, and all sacred Hindu rituals.",Holy Ganga river water for puja,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,307,ACTIVE,false
Sindoor Powder Sacred Compact,RAM-PS-064,Pooja Samagri,199,249,388,Premium quality natural sindoor made from turmeric and lime. Lead-free and safe for daily religious application.,Traditional vermillion powder,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,90,ACTIVE,false
Akshat (Sacred Rice) Artisan Large,RAM-PS-065,Pooja Samagri,139,159,234,"Premium quality turmeric-coloured unbroken rice grains for puja offerings, tilak ceremonies and religious rituals.",Coloured rice grains for puja offerings,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,66,ACTIVE,false
Panchamrit Mix Powder Large,RAM-PS-066,Pooja Samagri,279,349,72,"Authentic panchamrit preparation powder containing dried milk, honey, curd, sugar and tulsi for deity abhishekam.",Five-nectar mixture for abhishekam,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,83,ACTIVE,false
Navgraha Pooja Samagri Kit Temple Grade,RAM-PS-067,Pooja Samagri,789,1019,38,"Complete navgraha pooja kit with all 9 grains, coloured cloths, specific samagri items for each planetary deity.",Nine-planet ritual items collection,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,751,ACTIVE,false
Janeu (Sacred Thread) Temple Grade Set,RAM-PS-068,Pooja Samagri,49,59,195,Hand-spun pure cotton janeu sacred threads for Upanayana ceremony and daily religious observances.,Pure cotton sacred thread for ceremonies,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,40,ACTIVE,false
Lobaan Guggal Resin Large,RAM-PS-069,Pooja Samagri,459,619,103,Premium quality natural lobaan and guggal resin for burning in temple dhunachi. Purifies environment and creates devotional atmosphere.,Natural aromatic temple resin incense,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,494,ACTIVE,false
Kamal Gatta (Lotus Seeds) Mala Deluxe,RAM-PS-070,Pooja Samagri,529,679,81,Natural dried lotus seeds strung on silk thread for Lakshmi puja jaap. Each seed symbolizes prosperity and divine grace.,Lotus seed prayer mala for Lakshmi puja,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,55,ACTIVE,false
Heavy Brass Pooja Thali Set Jumbo Inch,RAM-PTA-001,Pooja Thali & Accessories,669,769,66,"Premium heavy-gauge handcrafted brass thali set with matching diya holder, agarbatti stand, kumkum container and bell. Perfect for daily aarti.",Handcrafted solid brass pooja thali,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,536,ACTIVE,true
German Silver Pooja Thali Standard Inch,RAM-PTA-002,Pooja Thali & Accessories,2279,3059,55,Lustrous German silver plated pooja thali with intricate peacock and floral motifs. Includes matching accessories.,Elegant German silver aarti plate,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,419,ACTIVE,true
Pure Copper Pooja Thali Set Premium Inch,RAM-PTA-003,Pooja Thali & Accessories,1689,2169,17,"Seamless pure copper pooja thali set with antimicrobial properties. Includes copper diya, kalash, and spoon.",Ayurvedic-grade copper ritual plate,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,816,ACTIVE,true
Stainless Steel Pooja Thali Premium Premium Inch,RAM-PTA-004,Pooja Thali & Accessories,639,849,42,Heavy-duty mirror-polished stainless steel pooja thali with laser-etched Om motif. Rust-proof and easy maintenance.,Mirror-finish stainless steel thali,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,514,ACTIVE,false
Brass Aarti Diya Temple Grade Wick,RAM-PTA-005,Pooja Thali & Accessories,819,959,123,Hand-carved brass aarti diya lamp with Premium cotton wick holders. Produces bright stable flames for evening aarti.,Traditional multi-wick brass aarti lamp,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,688,ACTIVE,false
Pooja Thali Katori Set Classic Piece,RAM-PTA-006,Pooja Thali & Accessories,629,709,43,"Set of miniature brass katoris for holding kumkum, chandan, akshat, sindoor, and haldi during pooja rituals.",Small brass bowls for offerings,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,204,ACTIVE,false
Brass Agarbatti Stand Handcrafted,RAM-PTA-007,Pooja Thali & Accessories,449,569,83,Decorative brass incense stick holder with ash collection tray and intricate temple motifs. Holds multiple agarbattis.,Ornate incense stick holder,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,300,ACTIVE,false
Silver Plated Achmani Spoon Handcrafted,RAM-PTA-008,Pooja Thali & Accessories,169,209,133,Elegant silver-plated brass achmani spoon for offering sacred water during abhishekam and other puja rituals.,Ritual spoon for holy water,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,33,ACTIVE,false
Brass Camphor Burner (Kapoor Dani) Temple Grade,RAM-PTA-009,Pooja Thali & Accessories,799,1079,89,Ornate brass kapoor dani with heat-resistant wooden handle. Features lotus design and controlled air flow for even burning.,Decorative camphor burner with handle,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,238,ACTIVE,false
Panch Patra Set Brass Deluxe,RAM-PTA-010,Pooja Thali & Accessories,969,1279,30,"Traditional brass panch patra set with achmani spoon for offering water, milk, curd, honey and ghee during puja.",Five-vessel ritual water set,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,179,ACTIVE,false
Heavy Brass Pooja Thali Set Large Inch,RAM-PTA-011,Pooja Thali & Accessories,749,879,79,"Premium heavy-gauge handcrafted brass thali set with matching diya holder, agarbatti stand, kumkum container and bell. Perfect for daily aarti.",Handcrafted solid brass pooja thali,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,1234,ACTIVE,false
German Silver Pooja Thali Jumbo Inch,RAM-PTA-012,Pooja Thali & Accessories,1179,1429,88,Lustrous German silver plated pooja thali with intricate peacock and floral motifs. Includes matching accessories.,Elegant German silver aarti plate,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,314,ACTIVE,false
Pure Copper Pooja Thali Set Standard Inch,RAM-PTA-013,Pooja Thali & Accessories,979,1229,38,"Seamless pure copper pooja thali set with antimicrobial properties. Includes copper diya, kalash, and spoon.",Ayurvedic-grade copper ritual plate,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,433,ACTIVE,false
